# QI Stellarator field line 5
# X[m] Y[m] Z[m]
-1.15 1.408343819019456e-16 0.0
-1.1499071120158109 -0.014616214812918039 -0.003369682513809827
-1.1496466920901098 -0.02923074578836665 -0.006737382126025341
-1.1492145111119088 -0.04384242771903602 -0.010099390369088218
-1.1486022085552527 -0.05844996728245743 -0.013451246838364107
-1.147797503092244 -0.0730518504369087 -0.016787222734485192
-1.146784511442709 -0.08764622516176128 -0.020099849810972722
-1.1455441800225574 -0.10223075388734974 -0.02337951432201445
-1.1440548351870463 -0.11680243445662143 -0.026614136981420677
-1.1422928578425182 -0.13135739445282887 -0.029788961836403817
-1.140233485968396 -0.14589067119078325 -0.032886478905119754
-1.1378517429704877 -0.16039599826938616 -0.03588650655580343
-1.1351234796036094 -0.17486562845595993 -0.03876645851714689
-1.1320265017560927 -0.1892902302209446 -0.04150181524680424
-1.128541736148607 -0.20365889907923254 -0.04406680819474523
-1.124654363364524 -0.21795932213504987 -0.046435306968050115
-1.1203548273822674 -0.23217812228902796 -0.048581873903627344
-1.1156396196767888 -0.24630138648251507 -0.050482921137399474
-1.1105117410003036 -0.2603153521842637 -0.052117877968833305
-1.1049807694932317 -0.274207193834851 -0.053470259138908086
-1.0990625085295873 -0.287965824691927 -0.05452852487437727
-1.0927782434673063 -0.3015826179837421 -0.05528664450872833
-1.0861536899871482 -0.3150519593397316 -0.05574431416775559
-1.0792177543421713 -0.3283715687940471 -0.055906826427866894
-1.0720012389585614 -0.34154256796061855 -0.055784634280480506
-1.0645356148261842 -0.35456930603939246 -0.055392683168196476
-1.0568519517269082 -0.36745898809691996 -0.05474959842863665
-1.0489800589930025 -0.38022116567967734 -0.05387681218544844
-1.0409478530120377 -0.39286715314303183 -0.052797698694031114
-1.032780939539543 -0.4054094263854566 -0.05153676687864925
-1.0245023813976917 -0.4178610485019117 -0.05011893882687207
-1.0161326145006206 -0.4302351532582702 -0.048568926776883715
-1.0076894748512308 -0.44254450492654207 -0.04691070994646467
-0.9991883033294322 -0.45480114315868553 -0.04516710615781566
-0.9906421012905444 -0.4670161143964672 -0.04335943052781332
-0.9820617164919547 -0.479199286408846 -0.04150723319363507
-0.9734560446518786 -0.49135923931725994 -0.039628108927551205
-0.9648322365543531 -0.5035032243686707 -0.037737572658580874
-0.956195903958423 -0.5156371803653746 -0.035848995801622166
-0.9475513197733759 -0.5277657968519415 -0.0339735986482529
-0.9389016092588773 -0.5398926128147759 -0.03212049389455605
-0.9302489296643265 -0.5520201397557672 -0.03029677582885162
-0.9215946359866064 -0.5641499985534779 -0.028507649011893055
-0.9129394306084498 -0.5762830604889468 -0.026756589691555883
-0.9042834946344401 -0.5884195841111279 -0.025045532886818545
-0.8956265988644948 -0.6005593411360275 -0.02337507814998304
-0.8869681925815567 -0.6127017261841687 -0.021744707478128653
-0.8783074686893477 -0.6248458467397506 -0.020153009624096566
-0.8696434042027614 -0.6369905911626503 -0.018597906032960073
-0.8609747756439522 -0.6491346738360447 -0.01707687466143428
-0.8523001495088314 -0.6612766575570715 -0.015587168892251767
-0.8436178486257069 -0.6734149540730491 -0.014126029527990223
-0.8349258959222766 -0.6855478042471571 -0.012690888372655574
-0.8262219378463513 -0.697673239729558 -0.011279562159787489
-0.817503150447195 -0.7097890282380589 -0.009890435577137776
-0.8087661319111658 -0.7218926046390841 -0.008522631916013504
