# Quasi-Isodynamic Stellarator surface s = 0.4
# X[m] Y[m] Z[m] |B|[T] Helical_Winding
1.1300000000000001 0.0 0.0 0.9477408304565673 0.0
1.1214979944224726 0.11045791133291448 0.011784918420649942 0.9532542911470926 0.47139673682599764
1.0913858171153734 0.21709013660700138 0.020786740307563632 0.9508600425479384 0.8314696123025452
1.0438993847882532 0.3166634163952616 0.024879618166804923 0.9347394388947974 0.9951847266721968
0.9852335459260856 0.4080970968275203 0.02309698831278217 0.9302021050508222 0.9238795325112867
0.9217451572405977 0.4926830510538129 0.01585983210409114 0.9412332254166758 0.6343932841636455
0.8581857934907673 0.5734214145763535 0.004877258050403215 0.9569721015301128 0.1950903220161286
0.7965186869536712 0.6536859928815711 -0.007257116931361553 0.9582704827553472 -0.2902846772544621
0.7356753236814714 0.7356753236814713 -0.017677669529663688 0.9470035622974615 -0.7071067811865475
0.6722945552754422 0.8191932858367269 -0.02392350839330522 0.9399869705090407 -0.9569403357322088
0.602165799803634 0.9012048060661918 -0.024519632010080762 0.9442958971727228 -0.9807852804032304
0.5218746543415457 0.9763588057211037 -0.019325261334068436 0.9547532083240844 -0.7730104533627374
0.43009709682752034 1.0383462442982938 -0.009567085809127261 0.9524180179308298 -0.3826834323650904
0.32812251253802566 1.0816749622446957 0.002450428508239023 0.9479769035602549 0.09801714032956091
0.21945844975192927 1.1032921313185897 0.013889255825490048 0.9543356870563946 0.5555702330196018
0.10868741996310773 1.1035218938750315 0.02204803160870887 0.9479935043864449 0.8819212643483548
6.649832119370128e-17 1.086 0.025 0.9323079025071743 1.0
-0.10406692395267049 1.0566092106057967 0.02204803160870888 0.9314799477042601 0.8819212643483552
-0.20323728231085622 1.0217428156336978 0.013889255825490058 0.9444096209165913 0.5555702330196023
-0.29923382481896454 0.9864417215989697 0.002450428508239016 0.959107614692882 0.09801714032956063
-0.39474175776819287 0.9529909052389663 -0.009567085809127247 0.9562025733603461 -0.38268343236508984
-0.4919695619396385 0.9204103129947331 -0.01932526133406843 0.945019794575869 -0.7730104533627371
-0.5913271622373967 0.8849836386251189 -0.024519632010080755 0.939768694248326 -0.9807852804032301
-0.6907100202500263 0.8416325948335999 -0.02392350839330523 0.9465271810150718 -0.9569403357322093
-0.7856753236814712 0.7856753236814713 -0.017677669529663712 0.9556088247894616 -0.7071067811865485
-0.8704911752302158 0.714393645114953 -0.007257116931361548 0.9507515212926362 -0.2902846772544619
